Country,Year,Per capita income
Aruba,2002,20436.88713
Aruba,2003,20833.76161
Aruba,2004,22569.97499
Aruba,2005,23300.03956
Aruba,2006,24045.27248
Aruba,2007,25835.13267
Aruba,2008,27084.70369
Afghanistan,2002,179.4264945
Afghanistan,2003,190.6840088
Afghanistan,2004,211.3819695
Afghanistan,2005,242.0313792
Afghanistan,2006,263.7337347
Afghanistan,2007,359.69348
Afghanistan,2008,364.6604654
Angola,2002,872.4944916
Angola,2003,982.9608993
Angola,2004,1255.564045
Angola,2005,1902.422346
Angola,2006,2599.566464
Angola,2007,3121.995637
Angola,2008,4080.94141
Albania,2002,1425.124849
Albania,2003,1846.118813
Albania,2004,2373.579844
Albania,2005,2673.787283
Albania,2006,2972.743265
Albania,2007,3595.037163
Albania,2008,4370.540087
Andorra,2002,24741.49357
Andorra,2003,32776.44227
Andorra,2004,38503.47961
Andorra,2005,41282.02012
Andorra,2006,43747.69185
Andorra,2007,48582.22088
Andorra,2008,47785.08927
Arab World,2002,2475.104262
Arab World,2003,2734.817321
Arab World,2004,3132.857134
Arab World,2005,3763.348027
Arab World,2006,4356.830765
Arab World,2007,4960.663315
Arab World,2008,6143.344714
United Arab Emirates,2002,31567.47371
United Arab Emirates,2003,33499.09375
United Arab Emirates,2004,36333.24984
United Arab Emirates,2005,39365.4339
United Arab Emirates,2006,41907.40566
United Arab Emirates,2007,41809.51638
United Arab Emirates,2008,44498.93423
Argentina,2002,2593.40415
Argentina,2003,3349.806124
Argentina,2004,4277.721351
Argentina,2005,5109.851325
Argentina,2006,5919.012037
Argentina,2007,7245.448317
Argentina,2008,9020.873098
Armenia,2002,783.2406986
Armenia,2003,930.1273219
Armenia,2004,1191.91902
Armenia,2005,1643.753029
Armenia,2006,2158.143697
Armenia,2007,3139.277499
Armenia,2008,4010.857243
American Samoa,2002,8700.067705
American Samoa,2003,8856.547459
American Samoa,2004,8578.944723
American Samoa,2005,8444.9817
American Samoa,2006,8391.561067
American Samoa,2007,8909.449156
American Samoa,2008,9792.666806
Antigua and Barbuda,2002,10404.43621
Antigua and Barbuda,2003,10789.95096
Antigua and Barbuda,2004,11446.63847
Antigua and Barbuda,2005,12547.61304
Antigua and Barbuda,2006,13989.71567
Antigua and Barbuda,2007,15607.08987
Antigua and Barbuda,2008,16024.34555
Australia,2002,20082.48327
Australia,2003,23447.031
Australia,2004,30430.67644
Australia,2005,33999.24286
Australia,2006,36044.92281
Australia,2007,40960.05449
Australia,2008,49601.65671
Austria,2002,26401.74546
Austria,2003,32222.89724
Austria,2004,36821.52147
Austria,2005,38403.13388
Austria,2006,40635.28182
Austria,2007,46855.77175
Austria,2008,51708.76575
